分类,标题,RSS/Atom 订阅地址,网站主页,类型,状态,备注
学术期刊 > 学术期刊0-细化专题,Palaeoceanography : nature.com subject feeds,https://www.nature.com/subjects/palaeoceanography.rss?error=cookies_not_supported&code=d8fe12cf-035f-44ee-ba06-42703b4355e3,,rss,,
学术期刊 > 学术期刊0-细化专题,"Proceedings of the National Academy of Sciences: Earth, Atmospheric, and Planetary Sciences",https://www.pnas.org/action/showFeed?type=searchTopic&taxonomyCode=topic&tagCode=earth-sci,,rss,,
学术期刊 > 学术期刊0-细化专题,Physical oceanography : nature.com subject feeds,https://www.nature.com/subjects/physical-oceanography.rss?error=cookies_not_supported&code=af9f2a31-1c84-445e-a8a5-8f1b782e953d,,rss,,
学术期刊 > 学术期刊0-综合大类,AAAS: Science Advances: Table of Contents,https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=sciadv,,rss,,
学术期刊 > 学术期刊0-综合大类,Nature Communications,https://www.nature.com/ncomms.rss?error=cookies_not_supported&code=7af1fe47-fe96-4860-ab8c-2a25eab20d12,,rss,,
学术期刊 > 学术期刊0-综合大类,ScienceDirect Publication: The Innovation,https://rss.sciencedirect.com/publication/science/26666758,,rss,,
学术期刊 > 学术期刊0-综合大类,National Science Review Advance Access,https://academic.oup.com/rss/site_5332/advanceAccess_3198.xml,,rss,,
学术期刊 > 学术期刊0-综合大类,Nature,https://www.nature.com/nature.rss,,rss,,
学术期刊 > 学术期刊0-综合大类,Scientific Reports,https://www.nature.com/srep.rss?error=cookies_not_supported&code=c4028aff-45fa-44cb-b3f6-c3ffd82771ad,,rss,,
学术期刊 > 学术期刊0-综合大类,Proceedings of the National Academy of Sciences: Physical Sciences,https://www.pnas.org/action/showFeed?type=searchTopic&taxonomyCode=topic&tagCode=phys-sci,,rss,,
学术期刊 > 学术期刊0-综合大类,AAAS: Science: Table of Contents,https://www.science.org/action/showFeed?type=etoc&feed=rss&jc=science,,rss,,
学术期刊 > 学术期刊0-综合大类,ScienceDirect Publication: Science Bulletin,https://rss.sciencedirect.com/publication/science/20959273,,rss,,
学术期刊 > 学术期刊0-数据软件类,tandf: Big Earth Data: Table of Contents,https://www.tandfonline.com/feed/rss/tbed20,,rss,,
学术期刊 > 学术期刊0-数据软件类,Journal of Open Source Software,https://joss.theoj.org/papers/published.atom,,rss,,
学术期刊 > 学术期刊0-数据软件类,ScienceDirect Publication: SoftwareX,https://rss.sciencedirect.com/publication/science/23527110,,rss,,
学术期刊 > 学术期刊0-数据软件类,Scientific Data,https://www.nature.com/sdata.rss,,rss,,
学术期刊 > 学术期刊0-数据软件类,Wiley: Geoscience Data Journal: Table of Contents,https://rmets.onlinelibrary.wiley.com/feed/20496060/most-recent,,rss,,
学术期刊 > 学术期刊0-数据软件类,ScienceDirect Publication: Data in Brief,https://rss.sciencedirect.com/publication/science/23523409,,rss,,
学术期刊 > 学术期刊0-数据软件类,ESSD - recent papers,https://essd.copernicus.org/xml/rss2_0.xml,,rss,,
学术期刊 > 学术期刊0-方法类,Nature Methods,https://www.nature.com/nmeth.rss,,rss,,
学术期刊 > 学术期刊0-方法类,Wiley: Journal of Geophysical Research: Machine Learning and Computation: Table of Contents,https://agupubs.onlinelibrary.wiley.com/feed/29935210/most-recent,,rss,,
学术期刊 > 学术期刊1-力学大类,Annual Review of Fluid Mechanics: Most Cited Articles,https://www.annualreviews.org/rss/content/journals/fluid/mostcitedarticles?fmt=rss,,rss,,
学术期刊 > 学术期刊1-力学大类,Journal of Fluid Mechanics,https://www.cambridge.org/core/rss/product/id/1F51BCFAA50101CAF5CB9A20F8DEA3E4,,rss,,
学术期刊 > 学术期刊1-力学大类,Physics of Fluids Current Issue,https://pubs.aip.org/rss/site_1000037/1000021.xml,,rss,,
学术期刊 > 学术期刊1-力学大类,Latest Results,https://link.springer.com/search.rss?new-search=true&query=*&content-type=Article&featureFlags.book-accessibility-search=true&sortBy=relevance&search-within=Journal&facet-journal-id=162&error=cookies_not_supported&code=c6ff320b-7973-4a2e-b472-76814a6a9177,,rss,,
学术期刊 > 学术期刊1-力学大类,"PRL: Nonlinear Dynamics, Fluid Dynamics, Classical Optics, etc.",https://feeds.aps.org/rss/tocsec/PRL-NonlinearDynamicsFluidDynamicsClassicalOpticsetc.xml,,rss,,
学术期刊 > 学术期刊1-力学大类,PRE: Classical physics,https://feeds.aps.org/rss/tocsec/PRE-Classicalphysics.xml,,rss,,
学术期刊 > 学术期刊1-力学大类,Recent Articles in Phys. Rev. Fluids,https://feeds.aps.org/rss/recent/prfluids.xml,,rss,,
